run,phi_est,kappa_est,sigma_est,phi_error,kappa_error,sigma_error,in_conf_interval
0,0.9755210054552392,0.6509305559353521,0.172046256416769,2.006139213199656e-05,8.659343488189717e-07,0.00048603742199392806,True
1,0.9749309975135966,0.6438777747669773,0.17421526397072581,2.569478620716392e-05,3.748164180386045e-05,0.000586379009171932,True
2,0.974074884378811,0.6425801469163233,0.17057432482644316,3.510699512445821e-05,5.505421978334759e-05,0.00042330284206399576,True
3,0.9748665728764359,0.6437579012953699,0.16849085944143227,2.635207403294387e-05,3.896379623834484e-05,0.0003419118828828052,True
4,0.9757711151063296,0.6319867264540115,0.177146199144159,1.7883467443913273e-05,0.0003244780238426081,0.0007369161279743388,True
5,0.9744173084537557,0.6382701404600195,0.16726691260918353,3.116644490050696e-05,0.00013758960482767186,0.00029814627105318126,True
6,0.9744358119539852,0.6444506325790169,0.16998003390457297,3.09601886114137e-05,3.079547877306872e-05,0.0003992017548278858,True
7,0.9742368130843841,0.6552272161847794,0.17068210250480967,3.321432342432558e-05,2.7323789042419634e-05,0.0004277493640194546,True
8,0.9745826641171327,0.6404881216148357,0.17347024434622668,2.9347528067801653e-05,9.047583041415616e-05,0.0005508523696715858,True
9,0.9751304152482364,0.6415667262774487,0.1706856936922624,2.371285565460835e-05,7.112010567947453e-05,0.00042789792353010525,True
